kampId,side,rowIndex,role,number,name,born,status
35963,HOME,13,,71,Malthe Saaby Hjelm,,closed
35963,HOME,14,,75,Oliver Frost,,closed
35963,HOME,15,,77,Oliver Laurits Bisgaard Vestermann,,closed
35963,HOME,16,,77,Gustav Hviid,,closed
35963,HOME,17,,88,Rasmus Høegh Mortensen,,closed
35963,HOME,18,,92,Thais Olesen Sørensen,,closed
35963,AWAY,0,,1,Mathias Saaby Hjelm,,closed
35963,AWAY,1,,4,Viktor Gade,,closed
35963,AWAY,2,,5,Tue Zinn Sund,,closed
35963,AWAY,3,,7,Oliver Skovbo Larsen,,closed
35963,AWAY,4,,9,Frederik Tronderup Nielsen,,closed
35963,AWAY,5,,10,Emil Kajgaard,,closed
35963,AWAY,6,,14,Anton Madsen,,closed
35963,AWAY,7,,15,Niklas Juul Jensen,,closed
35963,AWAY,8,,17,Anders Tengnagel,,closed
35963,AWAY,9,,22,Simon Erlandsen,,closed
35963,AWAY,10,,23,Dennis Torp,,closed
35963,AWAY,11,,31,Marcus Fuglsang Sørensen,,closed
35963,AWAY,12,,60,Rasmus Overgaard,,closed
35963,AWAY,13,,68,Mikkel Hansen,,closed
35963,AWAY,14,,71,Magnus Nyeng Jensen,,closed
35963,AWAY,15,,81,Kasper Jensen,,closed
35963,AWAY,16,,88,Mads Larsen,,closed
35963,AWAY,17,,92,Nicolai Flyvholm Pedersen,,closed
35963,AWAY,18,,95,Frederik Lentz,,closed
35963,AWAY,19,,98,Rasmus Larsen,,closed
35961,HOME,0,,6,Jonas Emil Kristensen,,closed
35961,HOME,1,,8,Vinoth Sivapalan,,closed
35961,HOME,2,,9,Victor Overholt,,closed
35961,HOME,3,,15,Nicklas Hedemand,,closed
35961,HOME,4,,31,Christoffer Ray Klindtworth,,closed
35961,HOME,5,,33,Andreas Krogh Bendixen,,closed
35961,HOME,6,,55,Oskar Bendsen,,closed
35961,HOME,7,,62,Gustav Johannes Chatterton,,closed
35961,HOME,8,,66,Anton Bendsen,,closed
35961,HOME,9,,72,Peter Brandt Vand,,closed
35961,HOME,10,,77,Simon Lysdahl Sørensen,,closed
35961,HOME,11,,88,Vitus Kuskegaard,,closed
35961,HOME,12,,90,Jonas Palner Jensen,,closed
35961,AWAY,0,,1,Mathias Holm Mikkelsen,,closed
35961,AWAY,1,,5,Kristoffer Handgaard,,closed
35961,AWAY,2,,6,Theis Hedegaard Lauridsen,,closed
35961,AWAY,3,,9,Simon Lauridsen,,closed
35961,AWAY,4,,14,Mathias Lauridsen,,closed
35961,AWAY,5,,15,Andre Van Enckevort,,closed
35961,AWAY,6,,17,Johan Selleby,,closed
35961,AWAY,7,,23,Kristian Gadegaard,,closed
35961,AWAY,8,,24,Mikkel Falsig,,closed
35961,AWAY,9,,27,Nicholas Holm Mikkelsen,,closed
35961,AWAY,10,,37,Frederik Kjelgaard,,closed
35961,AWAY,11,,70,Viktor Nielsen,,closed
35961,AWAY,12,,71,Mads Lindbjerg Jespersen,,closed
35961,AWAY,13,,72,Daniel Ravn,,closed
35961,AWAY,14,,77,Mikkel Skov Nielsen,,closed
35961,AWAY,15,,87,Jeppe Kjærsgaard,,closed
35961,AWAY,16,,88,Magnus Kristensen,,closed
35961,AWAY,17,,93,Søren Olesen,,closed
