KampNr,Kamp,Dato,KampID,Sæson,Stadie,Periode,teamid,number,Event,Nummer,Spiller,Tid
40000939,Vanløse Floorball - Copenhagen FC,44890,35309,20222023,Grundspil,2,29509,1,Goal,7,Niclas,1450
40000939,Vanløse Floorball - Copenhagen FC,44890,35309,20222023,Grundspil,2,29509,0,Assist,97,Daniel Hedegaard,1500
40000939,Vanløse Floorball - Copenhagen FC,44890,35309,20222023,Grundspil,2,29509,1,Goal,48,Nicklas Møller,1500
40000939,Vanløse Floorball - Copenhagen FC,44890,35309,20222023,Grundspil,2,29513,207,Penalty,9,Frederik Mads Pil,1763
40000939,Vanløse Floorball - Copenhagen FC,44890,35309,20222023,Grundspil,2,29509,1,Goal,18,Kristoffer Fält,1856
40000939,Vanløse Floorball - Copenhagen FC,44890,35309,20222023,Grundspil,2,29509,0,Assist,67,Daniel Mac Cabe,1856
40000939,Vanløse Floorball - Copenhagen FC,44890,35309,20222023,Grundspil,2,29509,0,Assist,18,Kristoffer Fält,2217
40000939,Vanløse Floorball - Copenhagen FC,44890,35309,20222023,Grundspil,2,29509,1,Goal,10,Otto Ray Hernandez,2217
40000939,Vanløse Floorball - Copenhagen FC,44890,35309,20222023,Grundspil,2,29513,0,Assist,69,Elias Ford Holmberg,2370
40000939,Vanløse Floorball - Copenhagen FC,44890,35309,20222023,Grundspil,2,29513,1,Goal,27,Villads Bech Crawfurd,2370
40000939,Vanløse Floorball - Copenhagen FC,44890,35309,20222023,Grundspil,3,29509,207,Penalty,91,Lucas Sødergaard,2833
40000939,Vanløse Floorball - Copenhagen FC,44890,35309,20222023,Grundspil,3,29513,222,Penalty,20,Noel Donde,2999
40000939,Vanløse Floorball - Copenhagen FC,44890,35309,20222023,Grundspil,3,29513,1,Goal,63,Kalle Tamminen,3074
40000939,Vanløse Floorball - Copenhagen FC,44890,35309,20222023,Grundspil,3,29509,0,Time-Out,,,3075
40000939,Vanløse Floorball - Copenhagen FC,44890,35309,20222023,Grundspil,3,29513,0,Assist,31,Kasper Abildgaard,3312
40000939,Vanløse Floorball - Copenhagen FC,44890,35309,20222023,Grundspil,3,29513,1,Goal,41,Rasmus Lilleballe Poulsen,3312
40000939,Vanløse Floorball - Copenhagen FC,44890,35309,20222023,Grundspil,3,29513,0,Time-Out,,,3312
40000939,Vanløse Floorball - Copenhagen FC,44890,35309,20222023,Grundspil,3,29509,-1,Own Goal,,,3483
40000939,Vanløse Floorball - Copenhagen FC,44890,35309,20222023,Grundspil,3,29509,1,Goal,2,Simon Lehnert,3576
40000940,Hafnia FC - Rødovre FC,44817,35310,20222023,Grundspil,1,29512,1,Goal,3,Jon Precht-Sparre,100
40000940,Hafnia FC - Rødovre FC,44817,35310,20222023,Grundspil,1,29512,0,Assist,24,Jonas Hvid Nielsen,100
40000940,Hafnia FC - Rødovre FC,44817,35310,20222023,Grundspil,1,29512,0,Assist,88,Magnus Møller,369
40000940,Hafnia FC - Rødovre FC,44817,35310,20222023,Grundspil,1,29512,1,Goal,8,Patrick Falkenberg Møller,369
40000940,Hafnia FC - Rødovre FC,44817,35310,20222023,Grundspil,1,29512,205,Penalty,87,Oliver Madsen,773
40000940,Hafnia FC - Rødovre FC,44817,35310,20222023,Grundspil,1,29510,0,Assist,66,Jeppe Trier,807
40000940,Hafnia FC - Rødovre FC,44817,35310,20222023,Grundspil,1,29510,1,Goal,81,Jesper Schow,807
40000940,Hafnia FC - Rødovre FC,44817,35310,20222023,Grundspil,1,29510,1,Goal,81,Jesper Schow,1157
40000940,Hafnia FC - Rødovre FC,44817,35310,20222023,Grundspil,2,29512,0,Assist,17,Jannik L. Dalkvist,1245
40000940,Hafnia FC - Rødovre FC,44817,35310,20222023,Grundspil,2,29510,1,Goal,10,Nikolaj Parbo,1252
40000940,Hafnia FC - Rødovre FC,44817,35310,20222023,Grundspil,2,29512,0,Assist,19,Oliver Ruud,1276
40000940,Hafnia FC - Rødovre FC,44817,35310,20222023,Grundspil,2,29512,1,Goal,77,Andreas Kleczewski,1338
40000940,Hafnia FC - Rødovre FC,44817,35310,20222023,Grundspil,2,29512,0,Assist,17,Jannik L. Dalkvist,1338
40000940,Hafnia FC - Rødovre FC,44817,35310,20222023,Grundspil,2,29512,1,Goal,77,Andreas Kleczewski,1970
40000940,Hafnia FC - Rødovre FC,44817,35310,20222023,Grundspil,2,29512,0,Assist,17,Jannik L. Dalkvist,1970
40000940,Hafnia FC - Rødovre FC,44817,35310,20222023,Grundspil,2,29512,0,Assist,53,August Lunddahl Mathiassen,2110
40000940,Hafnia FC - Rødovre FC,44817,35310,20222023,Grundspil,2,29512,1,Goal,16,Rasmus Bømervang,2110
40000940,Hafnia FC - Rødovre FC,44817,35310,20222023,Grundspil,2,29510,0,Assist,81,Jesper Schow,2176
40000940,Hafnia FC - Rødovre FC,44817,35310,20222023,Grundspil,2,29510,1,Goal,71,Ondrej Ceska,2176
40000940,Hafnia FC - Rødovre FC,44817,35310,20222023,Grundspil,3,29512,1,Goal,77,Andreas Kleczewski,2445
40000940,Hafnia FC - Rødovre FC,44817,35310,20222023,Grundspil,3,29512,0,Assist,17,Jannik L. Dalkvist,2445
40000940,Hafnia FC - Rødovre FC,44817,35310,20222023,Grundspil,3,29512,1,Goal,88,Magnus Møller,2476
40000940,Hafnia FC - Rødovre FC,44817,35310,20222023,Grundspil,3,29512,0,Assist,19,Oliver Ruud,2476
40000940,Hafnia FC - Rødovre FC,44817,35310,20222023,Grundspil,3,29512,0,Assist,53,August Lunddahl Mathiassen,2572
40000940,Hafnia FC - Rødovre FC,44817,35310,20222023,Grundspil,3,29512,1,Goal,16,Rasmus Bømervang,2572
40000940,Hafnia FC - Rødovre FC,44817,35310,20222023,Grundspil,3,29512,208,Penalty,87,Oliver Madsen,2624
40000940,Hafnia FC - Rødovre FC,44817,35310,20222023,Grundspil,3,29512,1,Goal,88,Magnus Møller,2786
40000940,Hafnia FC - Rødovre FC,44817,35310,20222023,Grundspil,3,29512,0,Assist,8,Patrick Falkenberg Møller,2786
40000940,Hafnia FC - Rødovre FC,44817,35310,20222023,Grundspil,3,29512,0,Assist,77,Andreas Kleczewski,2805
40000940,Hafnia FC - Rødovre FC,44817,35310,20222023,Grundspil,3,29512,1,Goal,53,August Lunddahl Mathiassen,2805
40000940,Hafnia FC - Rødovre FC,44817,35310,20222023,Grundspil,3,29510,0,Time-Out,,,2836
40000940,Hafnia FC - Rødovre FC,44817,35310,20222023,Grundspil,3,29512,0,Assist,8,Patrick Falkenberg Møller,2836
40000940,Hafnia FC - Rødovre FC,44817,35310,20222023,Grundspil,3,29512,1,Goal,89,Rasmus Schjerlund Nielsen,2836
40000940,Hafnia FC - Rødovre FC,44817,35310,20222023,Grundspil,3,29510,0,Assist,66,Jeppe Trier,2977
40000940,Hafnia FC - Rødovre FC,44817,35310,20222023,Grundspil,3,29510,1,Goal,55,Mads Voldum,2977
40000940,Hafnia FC - Rødovre FC,44817,35310,20222023,Grundspil,3,29510,205,Penalty,81,Jesper Schow,3055
40000940,Hafnia FC - Rødovre FC,44817,35310,20222023,Grundspil,3,29512,1,Goal,77,Andreas Kleczewski,3063
40000940,Hafnia FC - Rødovre FC,44817,35310,20222023,Grundspil,3,29512,0,Assist,17,Jannik L. Dalkvist,3063
40000940,Hafnia FC - Rødovre FC,44817,35310,20222023,Grundspil,3,29510,0,Assist,66,Jeppe Trier,3133
40000940,Hafnia FC - Rødovre FC,44817,35310,20222023,Grundspil,3,29510,1,Goal,14,Thomas Hviid,3133
40000940,Hafnia FC - Rødovre FC,44817,35310,20222023,Grundspil,3,29510,0,Assist,7,Jannick Strikert,3248
40000940,Hafnia FC - Rødovre FC,44817,35310,20222023,Grundspil,3,29510,1,Goal,59,Kim Thobiassen,3248
40000940,Hafnia FC - Rødovre FC,44817,35310,20222023,Grundspil,3,29510,207,Penalty,10,Nikolaj Parbo,3465
40000941,Copenhagen FC - RungstedHørsholm,44859,35311,20222023,Grundspil,1,29508,1,Goal,11,Kristers Kuznecovs,169
40000941,Copenhagen FC - RungstedHørsholm,44859,35311,20222023,Grundspil,1,29508,0,Assist,30,Sophus Gormsen,169
40000941,Copenhagen FC - RungstedHørsholm,44859,35311,20222023,Grundspil,1,29513,1,Goal,5,Bertram Valiant Vinther,857
40000941,Copenhagen FC - RungstedHørsholm,44859,35311,20222023,Grundspil,1,29513,0,Assist,63,Kalle Tamminen,857
40000941,Copenhagen FC - RungstedHørsholm,44859,35311,20222023,Grundspil,1,29508,213,Penalty,96,Kasper Kofoed,942
40000941,Copenhagen FC - RungstedHørsholm,44859,35311,20222023,Grundspil,1,29513,0,Assist,3,Charlie Petersen,1177
40000941,Copenhagen FC - RungstedHørsholm,44859,35311,20222023,Grundspil,1,29513,1,Goal,20,Noel Donde,1177
40000941,Copenhagen FC - RungstedHørsholm,44859,35311,20222023,Grundspil,2,29508,1,Goal,48,Christian Espensen,1465
40000941,Copenhagen FC - RungstedHørsholm,44859,35311,20222023,Grundspil,2,29508,0,Assist,96,Kasper Kofoed,1465
40000941,Copenhagen FC - RungstedHørsholm,44859,35311,20222023,Grundspil,2,29508,1,Goal,96,Kasper Kofoed,1541
40000941,Copenhagen FC - RungstedHørsholm,44859,35311,20222023,Grundspil,2,29508,0,Assist,11,Kristers Kuznecovs,1541
40000941,Copenhagen FC - RungstedHørsholm,44859,35311,20222023,Grundspil,2,29513,0,Assist,3,Charlie Petersen,1595
40000941,Copenhagen FC - RungstedHørsholm,44859,35311,20222023,Grundspil,2,29513,1,Goal,20,Noel Donde,1595
40000941,Copenhagen FC - RungstedHørsholm,44859,35311,20222023,Grundspil,2,29508,0,Assist,11,Kristers Kuznecovs,1977
40000941,Copenhagen FC - RungstedHørsholm,44859,35311,20222023,Grundspil,2,29508,1,Goal,87,Nikolaj Hommel,1977
40000941,Copenhagen FC - RungstedHørsholm,44859,35311,20222023,Grundspil,2,29513,0,Assist,97,Rasmus Engelhardt Frie,2110
40000941,Copenhagen FC - RungstedHørsholm,44859,35311,20222023,Grundspil,2,29513,1,Goal,77,Victor Holmsteen,2110
40000941,Copenhagen FC - RungstedHørsholm,44859,35311,20222023,Grundspil,2,29513,212,Penalty,22,Christian Holmsteen,2354
40000941,Copenhagen FC - RungstedHørsholm,44859,35311,20222023,Grundspil,3,29508,0,Assist,8,Gustav Damgaard Larsen,2748
40000941,Copenhagen FC - RungstedHørsholm,44859,35311,20222023,Grundspil,3,29508,1,Goal,96,Kasper Kofoed,2748
